FS225 UB	1008.8693	1006.8523	100.0023	
FS226 UB	988.9943	997.5364	99.9976	
FS229 B	989.3353	998.8377	100.0035	
FS230 B	989.2276	998.6412	100.0099	
FS231 R	990.7095	999.1747	100.0203	
FS232 B	989.2677	996.2231	100.0255	
FS233 UB	989.0996	996.4693	100.0073	
FS234 UB	990.1733	995.9558	100.0660	
FS235 UB	990.3023	996.2810	100.0646	
FS236 UB	989.3995	997.5149	100.0022	
FS237 B	989.2483	998.4844	99.9957	
FS238 UB	989.4216	998.6204	99.9970	
FS239 UB	989.9058	996.0274	100.0076	
FS240 UB	990.5683	999.1763	100.0013	
FS241 UB	989.4259	998.3784	100.0095	
FS242 B	989.3353	998.4432	100.0068	
FS243 B	989.8941	996.2252	100.0010	
FS244 UB	990.2567	996.2022	100.0243	
FS245 UB	990.2360	996.1729	100.0263	
FS246 UB	990.1708	996.3714	100.0140	
FS254 UB	990.0258	996.2445	100.0067	
FS258 UB	990.1075	999.1730	100.0314	
FS259 B	990.3126	999.0172	100.0263	
FS260 UB	990.0519	999.0098	100.0220	
FS261 UB	990.1090	996.3363	100.0047	
FS262 UB	990.4826	999.2481	100.0252	
FS263 UB	990.0543	998.9858	100.0217	
FS264 UB	990.3895	999.2845	100.0265	
FS265 UB	990.0785	998.9404	99.9916	
FS266 UB	990.2536	999.3535	99.9960	
FS267 UB	990.0935	998.9899	99.9950	
FS268 UB	990.2354	999.0880	100.0262	
FS270 UB	990.4509	998.6306	100.0353	
FS282 UB	992.3546	997.6877	99.9953	
FS283 UB	991.2051	999.2403	99.9970	
FS284 UB	991.2846	996.7329	100.0013	
FS285 UB	992.3398	999.1393	99.9485	
FS286 UB	992.1618	997.6332	99.9836	
FS287 UB	992.3294	998.9068	99.9619	
FS288 UB	991.0899	997.6771	99.9869	
FS289 UB	991.4058	997.7749	99.9994	
FS290 UB	991.3814	997.6717	100.0023	
FS291 B	992.1537	997.7326	100.0007	
FS292 UB	991.0797	999.0776	99.9888	
FS293 UB	992.1160	997.7190	99.9997	
FS294 UB	991.1881	999.0038	99.9791	
FS295 UB	992.2311	996.4582	99.9705	
FS296 UB	992.2874	997.6672	99.9849	
FS297 UB	991.4294	999.1962	99.9681	
FS298 UB	991.3716	996.4555	99.9826	
FS299 UB	992.4179	997.6852	99.9861	
FS300 CHA	991.4203	997.8399	100.0035	
FS301 WO	992.3937	997.6946	99.9694	
FS302 UB	992.1245	996.8611	99.9778	
FS303 UB	992.2271	997.7295	99.9851	
FS304 UB	991.0866	999.1036	99.9640	
FS305 UB	991.1081	997.5307	99.9660	
FS306 UB	991.0750	997.8590	99.9738	
FS307 DB	992.0402	997.6925	99.9968	
FS308 UB	991.3997	999.3031	99.9522	
FS309 UB	992.3396	997.8821	99.9787	
FS310 UB	992.1874	997.8709	99.9936	
FS311 UB	992.3205	997.8761	99.9791	
FS312 UB	991.3309	998.5623	100.0007	
FS313 UB	991.3436	998.4883	100.0039	
FS314 UB	992.2483	997.4901	99.9783	
FS315 UB	991.8565	999.3603	99.9424	
FS316 UB	992.4326	997.4421	99.9716	
FS318 UB	991.1550	998.5828	99.9912	
FS319 UB	991.2410	998.6119	99.9646	
FS320 UB	990.7669	997.9967	99.9918	
FS321 UB	990.8693	998.0437	99.9881	
FS322 UB	990.5249	998.1824	99.9952	
FS323 UB	990.6604	998.3871	99.9928	
FS324 UB	992.0948	997.5435	99.9683	
FS325 CHA	992.2481	997.7644	99.9801	
FS326 UB	991.9368	995.5316	99.9560	
FS327 CHA	992.4173	997.7547	99.9654	
FS328 UB	990.6946	998.3079	99.9884	
FS329 UB	992.1641	997.3623	99.9758	
FS330 UB	990.6351	998.6781	99.9973	
